Timestamp,RSSI_A,RSSI_B,RSSI_C,Dist_A,Dist_B,Dist_C,X,Y,Z
2025-06-16 16:31:54,-42,-66,-44,0.71,11.22,0.89,-62.2,-55.44,28.2
2025-06-16 16:31:57,-42,-66,-44,0.71,11.22,0.89,-62.2,-55.44,28.2
2025-06-16 16:31:58,-39,-66,-44,0.5,11.22,0.89,-62.32,-55.6,28.15
2025-06-16 16:31:59,-39,-66,-42,0.5,11.22,0.71,-62.32,-55.54,28.27
2025-06-16 16:32:00,-39,-51,-42,0.5,2.0,0.71,-1.36,-1.0,1.0
2025-06-16 16:32:01,-39,-51,-42,0.5,2.0,0.71,-1.36,-1.0,1.0
2025-06-16 16:32:02,-41,-51,-42,0.63,2.0,0.71,-1.29,-0.88,1.01
2025-06-16 16:32:03,-41,-46,-42,0.63,1.12,0.71,0.07,-0.09,0.62
2025-06-16 16:32:04,-41,-46,-49,0.63,1.12,1.58,0.07,-0.61,-0.12
2025-06-16 16:32:05,-41,-46,-49,0.63,1.12,1.58,0.07,-0.61,-0.12
2025-06-16 16:32:06,-41,-46,-38,0.63,1.12,0.45,0.07,0.14,0.65
2025-06-16 16:32:07,-39,-46,-38,0.5,1.12,0.45,-0.0,-0.0,0.65
2025-06-16 16:32:08,-39,-40,-38,0.5,0.56,0.45,0.47,-0.23,0.77
2025-06-16 16:32:09,-39,-40,-38,0.5,0.56,0.45,0.47,-0.23,0.77
2025-06-16 16:32:10,-39,-40,-38,0.5,0.56,0.45,0.47,-0.23,0.77
2025-06-16 16:32:11,-42,-40,-38,0.71,0.56,0.45,0.59,-0.2,0.88
2025-06-16 16:32:12,-42,-40,-43,0.71,0.56,0.79,0.59,-0.06,0.59
2025-06-16 16:32:13,-42,-40,-43,0.71,0.56,0.79,0.59,-0.06,0.59
2025-06-16 16:32:14,-41,-40,-43,0.63,0.56,0.79,0.54,-0.08,0.55
2025-06-16 16:32:15,-41,-42,-43,0.63,0.71,0.79,0.45,0.11,0.45
2025-06-16 16:32:16,-41,-42,-49,0.63,0.71,1.58,0.45,-0.37,-0.25
2025-06-16 16:32:17,-41,-42,-49,0.63,0.71,1.58,0.45,-0.37,-0.25
2025-06-16 16:32:18,-41,-43,-49,0.63,0.79,1.58,0.38,-0.46,-0.2
2025-06-16 16:32:19,-45,-43,-49,1.0,0.79,1.58,0.68,-0.7,0.22
2025-06-16 16:32:20,-45,-43,-45,1.0,0.79,1.0,0.68,-0.17,0.71
2025-06-16 16:32:21,-45,-43,-45,1.0,0.79,1.0,0.68,-0.17,0.71
2025-06-16 16:32:22,-22,-43,-45,0.07,0.79,1.0,0.19,-0.13,0.19
2025-06-16 16:32:23,-22,-48,-45,0.07,1.41,1.0,-0.5,-0.4,0.33
2025-06-16 16:32:24,-22,-48,-51,0.07,1.41,2.0,-0.5,-1.72,-0.5
2025-06-16 16:32:25,-22,-48,-51,0.07,1.41,2.0,-0.5,-1.72,-0.5
2025-06-16 16:32:26,-13,-48,-51,0.03,1.41,2.0,-0.5,-1.73,-0.5
2025-06-16 16:32:27,-13,-48,-50,0.03,1.41,1.78,-0.5,-1.27,-0.32
2025-06-16 16:32:28,-13,-50,-50,0.03,1.78,1.78,-1.08,-1.61,-0.15
2025-06-16 16:32:29,-13,-50,-50,0.03,1.78,1.78,-1.08,-1.61,-0.15
2025-06-16 16:32:30,-14,-50,-50,0.03,1.78,1.78,-1.08,-1.61,-0.15
2025-06-16 16:32:31,-14,-46,-50,0.03,1.12,1.78,-0.13,-1.16,-0.38
2025-06-16 16:32:32,-14,-46,-47,0.03,1.12,1.26,-0.13,-0.24,-0.05
2025-06-16 16:32:33,-14,-46,-47,0.03,1.12,1.26,-0.13,-0.24,-0.05
2025-06-16 16:32:34,-14,-46,-47,0.03,1.12,1.26,-0.13,-0.24,-0.05
2025-06-16 16:32:35,-14,-46,-44,0.03,1.12,0.89,-0.13,-0.12,0.29
2025-06-16 16:32:36,-14,-49,-44,0.03,1.58,0.89,-0.76,-0.61,0.53
2025-06-16 16:32:37,-14,-49,-44,0.03,1.58,0.89,-0.76,-0.61,0.53
2025-06-16 16:32:38,-13,-49,-44,0.03,1.58,0.89,-0.76,-0.61,0.53
2025-06-16 16:32:39,-13,-49,-45,0.03,1.58,1.0,-0.76,-0.63,0.44
2025-06-16 16:32:40,-13,-48,-45,0.03,1.41,1.0,-0.5,-0.41,0.33
2025-06-16 16:32:41,-13,-48,-45,0.03,1.41,1.0,-0.5,-0.41,0.33
2025-06-16 16:32:42,-13,-27,-45,0.03,0.13,1.0,0.49,-0.4,0.33
2025-06-16 16:32:43,-13,-27,-39,0.03,0.13,0.5,0.49,-0.39,0.7
2025-06-16 16:32:44,-50,-27,-39,1.78,0.13,0.5,2.07,-1.09,2.62
2025-06-16 16:32:45,-50,-27,-39,1.78,0.13,0.5,2.07,-1.09,2.62
2025-06-16 16:32:46,-50,-16,-39,1.78,0.04,0.5,2.08,-1.09,2.63
2025-06-16 16:32:47,-50,-16,-44,1.78,0.04,0.89,2.08,-1.02,2.32
2025-06-16 16:32:48,-65,-16,-44,10.0,0.04,0.89,50.5,-39.7,70.08
2025-06-16 16:32:49,-65,-16,-44,10.0,0.04,0.89,50.5,-39.7,70.08
2025-06-16 16:32:50,-65,-16,-44,10.0,0.04,0.89,50.5,-39.7,70.08
2025-06-16 16:32:51,-65,-16,-43,10.0,0.04,0.79,50.5,-39.71,70.16
2025-06-16 16:32:52,-64,-16,-43,8.91,0.04,0.79,40.22,-31.48,55.77
2025-06-16 16:32:53,-64,-16,-43,8.91,0.04,0.79,40.22,-31.48,55.77
2025-06-16 16:32:54,-64,-17,-43,8.91,0.04,0.79,40.22,-31.48,55.77
2025-06-16 16:32:55,-64,-17,-44,8.91,0.04,0.89,40.22,-31.47,55.68
2025-06-16 16:32:56,-64,-17,-44,8.91,0.04,0.89,40.22,-31.47,55.68
2025-06-16 16:32:57,-64,-17,-44,8.91,0.04,0.89,40.22,-31.47,55.68
2025-06-16 16:32:58,-64,-16,-44,8.91,0.04,0.89,40.22,-31.47,55.68
2025-06-16 16:32:59,-64,-16,-44,8.91,0.04,0.89,40.22,-31.47,55.68
2025-06-16 16:33:00,-68,-16,-44,14.13,0.04,0.89,100.26,-79.51,139.74
2025-06-16 16:33:01,-68,-16,-44,14.13,0.04,0.89,100.26,-79.51,139.74
2025-06-16 16:33:02,-68,-16,-44,14.13,0.04,0.89,100.26,-79.51,139.74
2025-06-16 16:33:03,-68,-16,-43,14.13,0.04,0.79,100.26,-79.52,139.83
2025-06-16 16:33:04,-65,-16,-43,10.0,0.04,0.79,50.5,-39.71,70.16
2025-06-16 16:33:05,-65,-16,-43,10.0,0.04,0.79,50.5,-39.71,70.16
2025-06-16 16:33:06,-65,-16,-43,10.0,0.04,0.79,50.5,-39.71,70.16
2025-06-16 16:33:07,-65,-16,-42,10.0,0.04,0.71,50.5,-39.72,70.23
2025-06-16 16:33:08,-66,-16,-42,11.22,0.04,0.71,63.45,-50.07,88.36
2025-06-16 16:33:09,-66,-16,-42,11.22,0.04,0.71,63.45,-50.07,88.36
2025-06-16 16:33:10,-66,-16,-42,11.22,0.04,0.71,63.45,-50.07,88.36
2025-06-16 16:33:11,-66,-16,-42,11.22,0.04,0.71,63.45,-50.07,88.36
2025-06-16 16:33:12,-62,-16,-42,7.08,0.04,0.71,25.56,-19.77,35.32
2025-06-16 16:33:13,-62,-16,-42,7.08,0.04,0.71,25.56,-19.77,35.32
2025-06-16 16:33:14,-62,-26,-42,7.08,0.11,0.71,25.55,-19.76,35.32
